ISIN code,dom_country,economic_sector,industry
BMG162581083,Bermuda,Utilities,Renewable Electricity
CA11275Q1072,United States,Utilities,Gas Utilities
CA0906971035,Canada,Energy,Oil and Gas Exploration and Production
CA0585861085,Canada,Capital Goods,Electrical Components and Equipment
CA09950M3003,Canada,Utilities,Renewable Electricity
CA0636711016,Canada,Banks,Diversified Banks
CA0985461049,Canada,Energy,Oil and Gas Exploration and Production
CA0641491075,Canada,Banks,Diversified Banks
CA07317Q1054,Canada,Energy,Oil and Gas Exploration and Production
CA11777Q2099,Canada,Materials,Gold
CA1033101082,Canada,Commercial and Professional Services,Diversified Support Services
CA1247651088,Canada,Capital Goods,Aerospace and Defense
CA1349211054,Canada,Equity Real Estate Investment Trusts (REITs),Multi-Family Residential REITs
CA1469001053,Canada,Materials,Paper and Plastic Packaging Products and Materials
CA19239C1068,Canada,Telecommunication Services,Integrated Telecommunication Services
CA1249003098,Canada,Materials,"Metal, Glass and Plastic Containers"
CA13321L1085,Canada,Energy,Coal and Consumable Fuels
CA15713J1049,Canada,Energy,Oil and Gas Equipment and Services
CA1348011091,Canada,Financial Services,Investment Banking and Brokerage
CA1295844056,Canada,Energy,Oil and Gas Equipment and Services
CA1520061021,Canada,Materials,Gold
CA16890P1036,Canada,Materials,Gold
CA19238T1003,Canada,Telecommunication Services,Integrated Telecommunication Services
CA1724541000,Canada,Media and Entertainment,Movies and Entertainment
CA17039A1066,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA17040T3001,Canada,Transportation,Passenger Airlines
CA1946931070,Canada,Real Estate Management and Development,Real Estate Services
CA1254911003,Canada,Financial Services,Asset Management and Custody Banks
CA14179V5036,Canada,Transportation,Air Freight and Logistics
CA15101Q1081,Canada,Technology Hardware and Equipment,Electronic Manufacturing Services
CA1360691010,Canada,Banks,Diversified Banks
CA1348083025,Canada,Energy,Oil and Gas Exploration and Production
CA1363851017,Canada,Energy,Oil and Gas Exploration and Production
CA1363751027,Canada,Transportation,Rail Transportation
CA13646K1084,Canada,Transportation,Rail Transportation
CA22576C1014,Canada,Energy,Oil and Gas Exploration and Production
CA14042M1023,Canada,Utilities,Independent Power Producers and Energy Traders
CA2265331074,Canada,Energy,Oil and Gas Exploration and Production
CA22717L1013,Canada,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CA2271071094,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA1264621006,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA14071L1085,Canada,Materials,Copper
CA21037X1006,Canada,Software and Services,Application Software
CA2183491083,Canada,"Food, Beverage and Tobacco",Distillers and Vintners
CA1366812024,Canada,Consumer Discretionary Distribution and Retail,Broadline Retail
CA1367178326,Canada,Utilities,Multi-Utilities
CA15135U1093,Canada,Energy,Integrated Oil and Gas
CA13677F1018,Canada,Banks,Regional Banks
CA26153P2035,Canada,Equity Real Estate Investment Trusts (REITs),Office REITs
CA25609L1058,Canada,Software and Services,Application Software
CA26153W1095,Canada,Equity Real Estate Investment Trusts (REITs),Industrial REITs
CA2483561072,Canada,Energy,Coal and Consumable Fuels
CA25675T1075,Canada,Consumer Discretionary Distribution and Retail,Broadline Retail
CA05577W2004,Canada,Consumer Durables and Apparel,Leisure Products
CA2652692096,Canada,Materials,Gold
CA58457V5036,Canada,Health Care Equipment and Services,Health Care Facilities
CA26153M5072,Canada,Real Estate Management and Development,Real Estate Development
CA25490H1064,Canada,Capital Goods,Building Products
CA2499061083,Canada,Software and Services,Application Software
CA26829L1076,Canada,Financial Services,Specialized Finance
CA29258Y1034,Canada,Materials,Silver
GB00BL6K5J42,United Kingdom,Materials,Gold
CA2861812014,Canada,Commercial and Professional Services,Diversified Support Services
CA2926717083,United States,Energy,Coal and Consumable Fuels
CA29269R1055,Canada,Energy,Oil and Gas Equipment and Services
CA3012831077,Canada,Transportation,Passenger Airlines
CA2849025093,Canada,Materials,Gold
CA2768555096,Canada,Materials,Precious Metals and Minerals
CA2908761018,Canada,Utilities,Electric Utilities
CA2918434077,Canada,Consumer Staples Distribution and Retail,Food Retail
CA29250N1050,Canada,Energy,Oil and Gas Storage and Transportation
CA2929491041,Canada,Software and Services,Application Software
CA26886R1047,Canada,Banks,Regional Banks
CA2927661025,Canada,Energy,Oil and Gas Exploration and Production
CA2960061091,Canada,Materials,Copper
CA2935701078,Canada,Energy,Oil and Gas Drilling
CA30041N1078,Canada,Technology Hardware and Equipment,Communications Equipment
CA30224T8639,Canada,Health Care Equipment and Services,Health Care Facilities
CA31890B1031,Canada,Equity Real Estate Investment Trusts (REITs),Retail REITs
CA3039011026,Canada,Insurance,Property and Casualty Insurance
CA3359341052,Canada,Materials,Copper
CA3518581051,Canada,Materials,Gold
CA32076V1031,Canada,Materials,Silver
CA3565001086,Canada,Energy,Oil and Gas Exploration and Production
CA33767E2024,Canada,Real Estate Management and Development,Real Estate Services
CA3495531079,Canada,Utilities,Electric Utilities
CA3180714048,Canada,Capital Goods,Trading Companies and Distributors
CA3499151080,Canada,Materials,Silver
CA36352H1001,Canada,Materials,Gold
CA4013393042,Canada,Financial Services,Asset Management and Custody Banks
CA3748252069,Canada,Energy,Oil and Gas Storage and Transportation
CA36168Q1046,Canada,Commercial and Professional Services,Environmental and Facilities Services
CA12532H1047,Canada,Software and Services,IT Consulting and Other Services
CA3759161035,Canada,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
CA3803551074,Canada,Financial Services,Consumer Finance
CA39138C1068,Canada,Insurance,Life and Health Insurance
CA4488112083,Canada,Utilities,Electric Utilities
CA4436281022,Canada,Materials,Diversified Metals and Mining
CA4339211035,Canada,Software and Services,Application Software
